Year,HomeTeam,AwayTeam,Diff
08,24,21,-3
08,19,12,2
08,0,16,2
08,2,6,1
08,13,4,1
08,16,2,0
08,18,17,-1
08,12,15,0
08,20,24,1
08,14,19,-2
08,21,8,3
08,22,7,0
08,6,0,1
08,26,9,1
08,19,26,5
08,7,6,0
08,15,13,0
08,8,20,0
08,24,22,1
08,0,18,2
08,2,12,-1
08,4,14,0
08,17,16,2
08,9,21,2
08,13,17,-1
08,16,7,0
08,26,4,0
08,6,9,2
08,12,24,3
08,20,2,-1
08,21,19,-1
08,22,15,-1
08,18,8,2
08,14,0,0
08,0,21,1
08,17,22,4
08,19,20,1
08,2,13,1
08,4,16,-1
08,7,12,-2
08,15,14,0
08,6,8,2
08,9,18,1
08,24,26,1
08,19,4,2
08,0,17,-3
08,2,24,2
08,18,15,-1
08,7,26,0
08,6,13,1
08,8,16,-2
08,22,12,-2
08,21,20,2
08,9,14,2
08,13,22,1
08,16,6,6
08,17,8,3
08,12,21,0
08,24,9,1
08,20,7,0
08,4,0,0
08,26,18,-2
08,15,19,0
08,14,2,-1
08,19,17,0
08,0,26,2
08,2,15,0
08,18,13,2
08,7,24,2
08,8,14,0
08,9,12,-3
08,22,16,-2
08,21,4,0
08,6,20,1
08,26,21,-5
08,15,7,2
08,20,9,0
08,13,0,-1
08,4,8,0
08,16,18,0
08,17,2,2
08,12,6,0
08,14,22,4
08,24,19,-2
08,19,22,2
08,13,12,-2
08,4,17,1
08,26,16,-2
08,18,20,6
08,6,24,1
08,8,0,-3
08,9,15,-3
08,7,2,0
08,21,14,0
08,2,0,-4
08,0,19,-1
08,2,9,2
08,16,21,1
08,12,18,0
08,24,8,0
08,20,26,1
08,22,6,0
08,15,4,4
08,14,13,-1
08,17,7,2
08,9,19,0
08,0,12,-2
08,16,20,2
08,18,7,3
08,17,26,3
08,9,13,1
08,24,15,2
08,2,21,-1
08,4,22,3
08,8,19,1
08,14,6,1
08,13,24,0
08,26,8,-1
08,7,9,-1
08,6,4,2
08,12,14,-1
08,20,0,0
08,21,18,-2
08,22,2,2
08,19,16,1
08,15,17,-1
08,19,14,1
08,0,6,0
08,4,13,3
08,7,22,0
08,15,12,3
08,8,21,-1
08,24,20,1
08,2,16,-1
08,17,18,1
08,9,26,0
08,13,8,3
08,16,0,0
08,26,15,-1
08,18,4,2
08,12,19,0
08,20,17,-4
08,14,7,4
08,21,24,0
08,22,9,1
08,6,2,0
08,13,7,0
08,16,9,1
08,18,19,-3
08,12,8,-1
08,20,4,2
08,14,24,2
08,21,17,1
08,22,0,-1
08,26,2,-1
08,6,15,0
08,19,21,2
08,0,14,1
08,7,16,-1
08,17,13,1
08,8,18,-2
08,24,12,-2
08,2,20,1
08,4,26,1
08,15,22,0
08,9,6,-2
08,19,13,0
08,0,24,2
08,16,14,2
08,26,22,-1
08,18,6,1
08,17,9,6
08,8,15,0
08,21,7,1
08,4,2,-1
08,20,12,2
08,13,16,-1
08,2,8,0
08,7,19,-3
08,9,4,0
08,12,26,2
08,24,17,-2
08,14,20,2
08,6,21,0
08,22,18,-1
08,15,0,0
08,0,2,0
08,19,9,3
08,4,7,0
08,8,22,1
08,20,13,2
08,16,24,1
08,26,6,0
08,18,14,0
08,17,12,2
08,21,15,1
08,13,26,0
08,2,18,0
08,15,20,3
08,6,19,-2
08,12,16,0
08,24,4,-2
08,14,17,0
08,22,21,1
08,7,0,1
08,9,8,0
08,0,9,3
08,4,12,-1
08,26,14,-3
08,18,24,1
08,8,7,1
08,20,22,2
08,21,13,0
08,16,15,0
08,17,6,-1
08,19,2,2
08,13,19,0
08,7,21,-1
08,15,8,1
08,9,17,-4
08,12,20,1
08,22,26,2
08,2,4,3
08,24,0,-1
08,6,18,-2
08,19,0,0
08,13,14,3
08,26,20,0
08,7,17,-3
08,6,22,0
08,8,24,-1
08,9,2,-1
08,21,16,-4
08,4,15,-2
08,18,12,2
08,15,21,4
08,2,7,0
08,15,9,3
08,24,6,2
08,20,18,-1
08,14,21,4
08,22,19,0
08,0,8,0
08,16,26,5
08,12,13,2
08,19,8,0
08,26,17,-1
08,15,24,1
08,12,0,2
08,20,16,-1
08,21,2,1
08,7,18,1
08,6,14,1
08,22,4,1
08,13,9,0
08,17,4,2
08,14,16,0
08,0,20,-1
08,2,22,2
08,4,6,0
08,18,21,0
08,8,26,1
08,9,7,2
08,24,13,1
08,14,12,2
08,16,19,1
08,17,15,3
08,13,6,2
08,4,19,-1
08,26,7,0
08,17,0,4
08,12,22,2
08,24,2,0
08,20,21,1
08,16,8,1
08,15,18,1
08,14,9,-3
08,19,15,0
08,0,4,4
08,2,14,0
08,7,20,-2
08,6,16,-2
08,9,24,3
08,22,13,2
08,18,26,1
08,8,17,0
08,21,12,-1
08,13,18,0
08,4,21,1
08,26,0,-6
08,12,9,0
08,24,7,-2
08,20,6,-1
08,14,8,0
08,15,2,2
08,17,19,1
08,16,22,0
08,18,16,-1
08,19,24,2
08,2,17,0
08,7,15,-2
08,8,4,-1
08,21,26,1
08,22,14,0
08,0,13,4
08,6,12,2
08,9,20,2
08,13,15,0
08,16,17,1
08,6,7,-1
08,20,8,1
08,14,4,0
08,21,9,0
08,22,24,0
08,18,0,0
08,12,2,-1
08,26,19,-4
08,0,22,-2
08,2,26,2
08,4,20,2
08,7,13,2
08,17,21,3
08,8,12,2
08,24,14,-1
08,19,18,1
08,15,6,1
08,9,16,-2
08,13,2,3
08,16,4,0
08,26,24,-4
08,18,9,2
08,8,6,7
08,12,7,-1
08,20,19,-1
08,14,15,-2
08,21,0,0
08,22,17,-2
09,19,3,1
09,4,27,2
09,18,2,-1
09,28,7,1
09,8,14,1
09,20,15,-1
09,21,22,1
09,0,6,2
09,16,12,4
09,17,9,0
09,2,28,0
09,7,19,1
09,15,8,1
09,9,4,1
09,27,0,1
09,14,20,-1
09,3,18,-1
09,6,21,3
09,22,16,-1
09,12,17,-1
09,19,9,3
09,4,3,0
09,18,12,-3
09,28,22,-5
09,8,27,1
09,21,2,3
09,0,15,0
09,16,14,0
09,20,6,-3
09,2,19,-4
09,7,4,1
09,15,17,1
09,6,16,-2
09,9,28,-1
09,12,8,1
09,3,21,1
09,22,20,0
09,27,18,-1
09,14,0,-1
09,2,7,1
09,4,19,-2
09,15,27,0
09,20,8,2
09,21,9,2
09,16,17,0
09,28,18,0
09,6,12,6
09,14,22,0
09,3,0,-1
09,19,28,-1
09,0,20,1
09,18,15,-2
09,7,21,-1
09,17,4,2
09,8,3,-1
09,9,2,-1
09,27,16,-2
09,12,14,2
09,22,6,1
09,2,17,-2
09,20,19,0
09,3,7,1
09,22,8,-1
09,16,0,2
09,18,9,0
09,6,15,-1
09,12,27,1
09,14,28,-1
09,21,4,-2
09,19,18,2
09,0,12,0
09,4,2,0
09,7,20,0
09,15,22,1
09,17,3,4
09,8,16,-5
09,28,21,1
09,27,14,1
09,9,6,0
09,2,8,0
09,18,17,0
09,20,9,1
09,3,28,-3
09,16,15,-1
09,6,27,3
09,12,7,0
09,14,4,2
09,21,19,-2
09,22,0,-4
09,9,3,1
09,19,14,0
09,0,2,1
09,4,18,-1
09,7,22,2
09,28,16,-3
09,15,12,1
09,17,21,2
09,8,6,2
09,27,20,1
09,16,20,5
09,18,7,1
09,17,28,1
09,8,21,0
09,12,22,-1
09,27,19,1
09,14,15,1
09,3,2,0
09,4,6,2
09,9,0,2
09,19,17,1
09,28,4,-1
09,15,3,3
09,20,12,-1
09,21,18,-2
09,22,27,0
09,0,8,-1
09,2,16,-2
09,7,9,1
09,6,14,-1
09,19,0,-2
09,2,20,-1
09,4,15,-2
09,7,14,1
09,17,27,5
09,9,22,0
09,3,16,-3
09,21,12,0
09,18,8,0
09,28,6,0
09,0,17,0
09,16,9,0
09,15,7,0
09,6,19,3
09,8,4,-2
09,12,28,0
09,27,3,1
09,20,21,-1
09,14,2,1
09,22,18,1
09,0,7,0
09,8,9,0
09,27,28,0
09,20,4,-3
09,22,3,1
09,16,19,-1
09,6,17,-1
09,12,2,1
09,14,18,-1
09,15,21,0
09,19,22,1
09,2,15,-2
09,4,16,-2
09,7,6,0
09,28,8,1
09,17,20,1
09,9,27,0
09,18,0,-1
09,3,12,0
